"","mean_beta","sd_beta","hpdi89_hi","hpdi89_lo","log2_mean_beta","log2_sd_beta","log2_hpdi89_hi","log2_hpdi89_lo"
"1",0.00766017510860262,0.294195269718147,0.479234415908898,-0.409616596334705,1.00532374983948,1.22620081590487,1.39400372460042,0.752823413837542
"2",-0.144580228071099,0.423757131589195,0.43658598083917,-0.894867223509958,0.904642557443254,1.34141638707137,1.35339783033193,0.537796688343172
"3",0.180109983228544,0.474062279078693,0.929696406555598,-0.580919639107447,1.13297025349781,1.38901509626326,1.90487510163049,0.668537485491061
"4",0.0189442389281628,0.44054475841003,0.722500114150059,-0.684967058896497,1.01321773789865,1.35711667492204,1.65003898858266,0.622020029090953
"5",0.0950923981038598,0.268020322355251,0.518511845543007,-0.332230573136441,1.06813381500567,1.20415434329151,1.43247687135445,0.794307442846457
"6",0.521751705419245,0.584265034085194,1.38278991933116,-0.452040903045485,1.43569739910572,1.49927500471415,2.60772171471624,0.731007998491232
"7",-0.0303947441919169,0.440374863699715,0.66606982181424,-0.743147429228654,0.979152349354594,1.35695686750444,1.58674447786916,0.597434547380327
"8",0.0285601286199426,0.356868515346895,0.584350805924371,-0.553281016019904,1.01999362025978,1.28064314047908,1.49936414302383,0.681468550546106
"9",0.139212878173178,0.368990034983376,0.820024028224014,-0.410807180909808,1.10130409003163,1.291448429949,1.76543539583197,0.75220240233844
"10",-0.153848375775804,0.301777454891627,0.300728652707323,-0.619671069609185,0.898849588854407,1.23266216462844,1.23176637658939,0.650819295766141
"11",0.0525779685616481,0.437220521421552,0.806475927620493,-0.589249359190255,1.03711650459727,1.3539932262477,1.74893409784275,0.66468865763279
"12",-1.12359810795153,0.82011888126397,0.185918098178461,-2.42598609795163,0.458947772587016,1.76555147193567,1.13754064783786,0.186082450008487
"13",0.0106550768613454,0.436738974180773,0.701433464478854,-0.687512238577615,1.00741287682593,1.35354136159126,1.62611970585675,0.620923638634996
"14",0.0403806465938919,0.368443853672633,0.567529265192781,-0.599937020642424,1.02838512422564,1.29095960072791,1.4819833767656,0.6597827568906
"15",0.283680102732226,0.648172532193477,1.151094073712,-0.897858140845108,1.21729607050885,1.56718178228056,2.22082247554777,0.53668291224304
"16",-0.110983252528012,0.391098827263524,0.526257176141099,-0.73751927894531,0.925956771399846,1.31139184389192,1.44018802487178,0.599769773155503
"17",0.0343905853513719,0.325186843585559,0.578808093396363,-0.417026073084956,1.02412412723518,1.25282668183236,1.49361476397678,0.748966931395901
"18",0.000370373196593886,0.181145632010772,0.281765968928758,-0.288162900840858,1.00025675609318,1.13378385615323,1.21568206170213,0.818944222159373
"19",0.37199415615304,0.59424884100447,1.27652494575525,-0.596962063776977,1.29414041236749,1.50968634195943,2.42254748699333,0.661144687397493
"20",0.106520518751879,0.446543660067452,0.83977453099449,-0.610911684410527,1.07662849808675,1.36277147984898,1.78977040894117,0.6547827933032
"21",0.00360113648899931,0.470121037924462,0.701818926972343,-0.745093201029547,1.00249923549938,1.38522567964789,1.62655423420975,0.596629326804661
"22",0.160501672075631,0.609453490097812,1.1011437666455,-0.745724456426868,1.11767572277456,1.52568115345966,2.14524699994804,0.59636832701794
"23",-0.015618494723752,0.460886822442807,0.688299832446821,-0.77525165599249,0.989232473745807,1.37638762152927,1.61138343792164,0.584286695550562
"24",0.0472858795781031,0.429184978709823,0.749307385191594,-0.690068736509749,1.03331912642743,1.34647269953398,1.68098562245473,0.619824318035145
"25",0.747576301124512,0.528863893419338,1.5005050333947,-0.160321058747832,1.67896982407846,1.44279256465948,2.82941742426519,0.894825913345407
"26",0.00332106823401831,0.532969909272271,0.857903159375271,-0.824668665817998,1.002304640694,1.44690470702579,1.81240221530438,0.564611858167006
"27",-0.127705994193883,0.260185103996253,0.250122800246632,-0.573874092905777,0.915285674546146,1.19763235615846,1.18930834300878,0.67181034063338
"28",0.0620880751990718,0.465961174985218,0.789110929981798,-0.755214698037322,1.04397565922559,1.38123727654643,1.72800923771234,0.592458210855447
"29",-0.0241356072481347,0.310804452071422,0.462886905157591,-0.518738601732492,0.983409633324575,1.24039915828299,1.37829710214087,0.697981836169273
"30",0.214928227521117,0.466815369982801,0.939908711899085,-0.570015765350495,1.16064617208708,1.382055325608,1.91840684552616,0.673609427385331
"31",-0.192142319592259,0.457591997893344,0.521525455620683,-0.893358788834067,0.875304977978408,1.37324781646004,1.43547226436198,0.53835928500878
"32",-0.0439592258237909,0.440857547497897,0.692276977872332,-0.686804149877914,0.969989324282738,1.35741094175938,1.61583174321226,0.621228468771643
"33",0.168888509025655,0.448057767722768,0.85022948131253,-0.544567232087159,1.12419204324889,1.36420245854509,1.80278766161839,0.685597031462651
"34",0.551435127526498,0.542371634116819,1.32691490537911,-0.335520881130924,1.46554282654814,1.45636465605435,2.50865643635329,0.792497955713868
"35",-0.1467619030089,0.347504989885955,0.299874688767836,-0.758558393995713,0.903275571071522,1.27235829532679,1.23103748185969,0.591086676202663
"36",-0.210863545964254,0.350595493335249,0.307613072786414,-0.784293818690145,0.864019904897197,1.27508682932422,1.23765830944781,0.580636101806149
"37",-0.0201982330416986,0.307540348146568,0.446516704338125,-0.535967926390192,0.986097200819794,1.23759592205222,1.36274601767234,0.689695793875286
"38",0.515869777628247,0.517561327659993,1.35943649272509,-0.293241921371478,1.42985591706622,1.43153339653782,2.56584939533167,0.81606619089032
"39",0.169842776820233,0.475221929366875,0.860887599349955,-0.656933662627174,1.12493588384154,1.39013204701194,1.81615533291712,0.634224861642866
"40",0.0335294064021985,0.406474839148749,0.622649249640222,-0.616921347360488,1.02351298563047,1.3254431929086,1.53969996860883,0.65206091562293
"41",0.100147106273679,0.496446435237085,0.934123913592237,-0.644065894873534,1.07188275288134,1.41073443812587,1.91072997899741,0.639906978602083
"42",0.00141506682142381,0.445542297096649,0.64948606385906,-0.719979681793636,1.00098133076783,1.36182591936702,1.56860930524586,0.607105992319084
"43",0.801662108755653,0.783295222274225,1.91608169066635,-0.571230923219832,1.74310818074839,1.72105740944916,3.77396669331967,0.673042296322911
"44",0.0609444708650587,0.421068994184842,0.894383059018248,-0.420840350044981,1.04314844211619,1.33891928675139,1.85881482858111,0.746989386512486
"45",0.30342900599259,0.421220729240392,0.874233393231493,-0.469166686619012,1.23407408482231,1.33906011462607,1.83303380598649,0.722381731339463
"46",-0.37792283110902,0.615715288707028,0.659655361355163,-1.28248680496342,0.769544771467063,1.53231753235962,1.57970521028835,0.411086299133794
"47",0.214430992280779,0.356795887887134,0.822876601408259,-0.348087258916521,1.16024621594935,1.28057867258086,1.76892956165727,0.785624998060134
"48",0.0893319183176518,0.449693829799007,0.764324891425502,-0.633779268181103,1.06387740914863,1.36575038506875,1.69857496479019,0.644485913811006
"49",-0.337669753845576,0.603459214844115,0.526710166305076,-1.36145046107667,0.791318420514048,1.51935522890267,1.44064029886144,0.389190807244636
"50",0.0237485560866862,0.327617471516584,0.510956935805506,-0.534186146563327,1.01659747747613,1.25493920186841,1.42499507766024,0.690548118995219
